Fast Food,Store Name,Street,City,State,Zip,Country,unique_address,LAT,LONG
Domino's,White Rock,1/194-196 Progress Road,WHITE ROCK,QLD,4868,Australia,"1/194-196 Progress Road, WHITE ROCK,QLD, 4868,Australia",-16.98041426,145.7442812
Domino's,Mount Cotton,20/101 Valley Way,MOUNT COTTON,QLD,4165,Australia,"20/101 Valley Way, MOUNT COTTON,QLD, 4165,Australia",-27.6387353,153.248858
Domino's,Pimpama,1/102 Pimpama Jacobs Well Road (Pimpama City Shopping Centre),PIMPAMA,QLD,4209,Australia,"1/102 Pimpama Jacobs Well Road (Pimpama City Shopping Centre), PIMPAMA,QLD, 4209,Australia",-27.81561726,153.2946972
Domino's,Treendale,4/10 The Promenade,AUSTRALIND,WA,6233,Australia,"4/10 The Promenade, AUSTRALIND,WA, 6233,Australia",-33.28287873,115.7417474
Domino's,Tarneit,T2 Lot 5 32 Escapade St Riverdale Village,TARNEIT,VIC,3029,Australia,"T2 Lot 5 32 Escapade St Riverdale Village, TARNEIT,VIC, 3029,Australia",-37.83305329,144.6528402
Domino's,Denman Prospect,Shop 21A And 22 3 Felstead Vista,DENMAN PROSPECT,ACT,2611,Australia,"Shop 21A And 22 3 Felstead Vista, DENMAN PROSPECT,ACT, 2611,Australia",-35.29902979,149.0235189
Domino's,Moss Vale,225-229 Argyle Street,MOSS VALE,NSW,2577,Australia,"225-229 Argyle Street, MOSS VALE,NSW, 2577,Australia",-34.54638425,150.3742133
Domino's,Golden Bay,40 Talisker Bend,GOLDEN BAY,WA,6174,Australia,"40 Talisker Bend, GOLDEN BAY,WA, 6174,Australia",-32.42109809,115.7610955
Domino's,Mudgeeraba,12/2 Bell Place Bell Central,MUDGEERABA,QLD,4213,Australia,"12/2 Bell Place Bell Central, MUDGEERABA,QLD, 4213,Australia",-28.08018474,153.3651022
Domino's,Mount Tamborine,27 Main Western Rd,MOUNT TAMBORINE,QLD,4272,Australia,"27 Main Western Rd, MOUNT TAMBORINE,QLD, 4272,Australia",-27.92945294,153.183352
Domino's,Mpk Two (Events),485 Kingsford Smith Drive,HAMILTON,QLD,4007,Australia,"485 Kingsford Smith Drive, HAMILTON,QLD, 4007,Australia",-27.43953459,153.0631141
Domino's,Fernvale Mpk,Woolworths Carpark 1455 Brisbane Valley Highway,FERNVALE,QLD,4306,Australia,"Woolworths Carpark 1455 Brisbane Valley Highway, FERNVALE,QLD, 4306,Australia",-27.45711512,152.6545657
Domino's,Logan Reserve,Tenancy 3 450-458 Chambers Flat Road,LOGAN RESERVE,QLD,4133,Australia,"Tenancy 3 450-458 Chambers Flat Road, LOGAN RESERVE,QLD, 4133,Australia",-27.70861238,153.0958117
Domino's,Newstead Qld,Tenancy R2 & R3 26 Reddacliff Street,NEWSTEAD,QLD,4006,Australia,"Tenancy R2 & R3 26 Reddacliff Street, NEWSTEAD,QLD, 4006,Australia",-27.44911104,153.0431776
Domino's,Bowen,41 Herbert St,BOWEN,QLD,4805,Australia,"41 Herbert St, BOWEN,QLD, 4805,Australia",-20.01400426,148.2470421
Domino's,Clifton Beach,23/55 Endeavor Road,CLIFTON BEACH,QLD,4879,Australia,"23/55 Endeavor Road, CLIFTON BEACH,QLD, 4879,Australia",-16.76448885,145.6681072
Domino's,Fairfield Central,37/30 Lakeside Drive Fairfield Central Cnr Of Waterfront Pde And Lakeside Dr,IDALIA,QLD,4811,Australia,"37/30 Lakeside Drive Fairfield Central Cnr Of Waterfront Pde And Lakeside Dr, IDALIA,QLD, 4811,Australia",-19.31559249,146.8169361
Domino's,Clinton,2/221 Dawson Highway,CLINTON,QLD,4680,Australia,"2/221 Dawson Highway, CLINTON,QLD, 4680,Australia",-23.87548411,151.2251288
Domino's,Gordonvale,T7 & 8 Gordonvale S/C 46L Draper Rd,GORDONVALE,QLD,4865,Australia,"T7 & 8 Gordonvale S/C 46L Draper Rd, GORDONVALE,QLD, 4865,Australia",-17.08490793,145.7705826
Domino's,Winmalee,3/14-28 White Cross Road (Winmalee Village),WINMALEE,NSW,2777,Australia,"3/14-28 White Cross Road (Winmalee Village), WINMALEE,NSW, 2777,Australia",-33.67081806,150.6084804
Domino's,Mount Hutton,9 Wilsons Road,MOUNT HUTTON,NSW,2290,Australia,"9 Wilsons Road, MOUNT HUTTON,NSW, 2290,Australia",-32.98302075,151.669463
